Ability ID,Ability Name,Ability Value,tas_id
0,Sensor,200,32768
1,First Strike,6000,32769
2,Initiative,6000,32770
3,Counterattack,4000,32771
4,Evade & Counter,22000,32772
5,Magic Counter,25000,32773
6,Magic Booster,17000,32774
7,Alchemy,8000,32775
8,Auto-Potion,12000,32776
9,Auto-Med,10000,32777
10,Auto-Phoenix,20000,32778
11,Piercing,0,32779
12,Half MP Cost,20000,32780
13,One MP Cost,30000,32781
14,Double Overdrive,30000,32782
15,Triple Overdrive,40000,32783
16,SOS Overdrive,20000,32784
17,Overdrive â†’ AP,25000,32785
18,Double AP,40000,32786
19,Triple AP,60000,32787
20,No AP,0,32788
21,Pickpocket,40000,32789
22,Master Thief,60000,32790
23,Break HP Limit,0,32791
24,Break MP Limit,0,32792
25,Break Damage Limit,0,32793
26,Gillionaire,0,32794
27,HP Stroll,6000,32795
28,MP Stroll,6000,32796
29,No Encounters,6500,32797
30,Firestrike,700,32798
31,Fire Ward,1500,32799
32,Fireproof,3000,32800
33,Fire Eater,10000,32801
34,Icestrike,700,32802
35,Ice Ward,1500,32803
36,Iceproof,3000,32804
37,Ice Eater,10000,32805
38,Lightningstrike,700,32806
39,Lightning Ward,1500,32807
40,Lightningproof,3000,32808
41,Lightning Eater,10000,32809
42,Waterstrike,700,32810
43,Water Ward,1500,32811
44,Waterproof,3000,32812
45,Water Eater,10000,32813
46,Deathstrike,20000,32814
47,Deathtouch,8000,32815
48,Deathproof,4000,32816
49,Death Ward,2000,32817
50,Zombiestrike,12000,32818
51,Zombietouch,8000,32819
52,Zombieproof,4000,32820
53,Zombie Ward,2000,32821
54,Stonestrike,12000,32822
55,Stonetouch,5000,32823
56,Stoneproof,2500,32824
57,Stone Ward,1200,32825
58,Poisonstrike,10000,32826
59,Poisontouch,1500,32827
60,Poisonproof,1500,32828
61,Poison Ward,400,32829
62,Sleepstrike,8000,32830
63,Sleeptouch,1000,32831
64,Sleepproof,800,32832
65,Sleep Ward,200,32833
66,Silencestrike,8000,32834
67,Silencetouch,3000,32835
68,Silenceproof,3000,32836
69,Silence Ward,500,32837
70,Darkstrike,4000,32838
71,Darktouch,2000,32839
72,Darkproof,2000,32840
73,Dark Ward,500,32841
74,Slowstrike,7000,32842
75,Slowtouch,3000,32843
76,Slowproof,3000,32844
77,Slow Ward,1000,32845
78,Confuseproof,4000,32846
79,Confuse Ward,1000,32847
80,Berserkproof,6000,32848
81,Berserk Ward,1000,32849
82,Curseproof,8000,32850
83,Curse Ward,0,32851
84,Auto-Shell,22000,32852
85,Auto-Protect,22000,32853
86,Auto-Haste,50000,32854
87,Auto-Regen,60000,32855
88,Auto-Reflect,14000,32856
89,SOS Shell,4000,32857
90,SOS Protect,4000,32858
91,SOS Haste,20000,32859
92,SOS Regen,20000,32860
93,SOS Reflect,1000,32861
94,SOS NulTide,500,32862
95,SOS NulFrost,500,32863
96,SOS NulShock,500,32864
97,SOS NulBlaze,500,32865
98,Strength +3%,100,32866
99,Strength +5%,500,32867
100,Strength +10%,5000,32868
101,Strength +20%,10000,32869
102,Magic +3%,100,32870
103,Magic +5%,500,32871
104,Magic +10%,5000,32872
105,Magic +20%,10000,32873
106,Defense +3%,200,32874
107,Defense +5%,500,32875
108,Defense +10%,5000,32876
109,Defense +20%,10000,32877
110,Magic Def +3%,200,32878
111,Magic Def +5%,500,32879
112,Magic Def +10%,5000,32880
113,Magic Def +20%,10000,32881
114,HP +5%,100,32882
115,HP +10%,1000,32883
116,HP +20%,6000,32884
117,HP +30%,15000,32885
118,MP +5%,1200,32886
119,MP +10%,6000,32887
120,MP +20%,8000,32888
121,MP +30%,18000,32889
122,Capture,6000,32890
123,(Nameless ability),0,32891
124,Distill Power,10,32892
125,Distill Mana,10,32893
126,Distill Speed,10,32894
127,Distill Ability,10,32895
128,Ribbon,5000,32896
129,Extra 1,0,32897
130,Extra 2,0,32898
131,Extra 3,0,32899
132,Extra 4,0,32900
133,Extra 5,0,32901
134,Sensor,200,32902
135,Sensor,200,32902
136,Sensor,200,32902
137,Sensor,200,32902
138,Sensor,200,32902
139,Sensor,200,32902
140,Sensor,200,32902
141,Sensor,200,32902
142,Sensor,200,32902
143,Sensor,200,32902
144,Sensor,200,32902
145,Sensor,200,32902
146,Sensor,200,32902
147,Sensor,200,32902
148,Sensor,200,32902
149,Sensor,200,32902
150,Sensor,200,32902
151,Sensor,200,32902
152,Sensor,200,32902
153,Sensor,200,32902
154,Sensor,200,32902
155,Sensor,200,32902
156,Sensor,200,32902
157,Sensor,200,32902
158,Sensor,200,32902
159,Sensor,200,32902
160,Sensor,200,32902
161,Sensor,200,32902
162,Sensor,200,32902
163,Sensor,200,32902
164,Sensor,200,32902
165,Sensor,200,32902
166,Sensor,200,32902
167,Sensor,200,32902
168,Sensor,200,32902
169,Sensor,200,32902
170,Sensor,200,32902
171,Sensor,200,32902
172,Sensor,200,32902
173,Sensor,200,32902
174,Sensor,200,32902
175,Sensor,200,32902
176,Sensor,200,32902
177,Sensor,200,32902
178,Sensor,200,32902
179,Sensor,200,32902
180,Sensor,200,32902
181,Sensor,200,32902
182,Sensor,200,32902
183,Sensor,200,32902
184,Sensor,200,32902
185,Sensor,200,32902
186,Sensor,200,32902
187,Sensor,200,32902
188,Sensor,200,32902
189,Sensor,200,32902
190,Sensor,200,32902
191,Sensor,200,32902
192,Sensor,200,32902
193,Sensor,200,32902
194,Sensor,200,32902
195,Sensor,200,32902
196,Sensor,200,32902
197,Sensor,200,32902
198,Sensor,200,32902
199,Sensor,200,32902
200,Sensor,200,32902
201,Sensor,200,32902
202,Sensor,200,32902
203,Sensor,200,32902
204,Sensor,200,32902
205,Sensor,200,32902
206,Sensor,200,32902
207,Sensor,200,32902
208,Sensor,200,32902
209,Sensor,200,32902
210,Sensor,200,32902
211,Sensor,200,32902
212,Sensor,200,32902
213,Sensor,200,32902
214,Sensor,200,32902
215,Sensor,200,32902
216,Sensor,200,32902
217,Sensor,200,32902
218,Sensor,200,32902
219,Sensor,200,32902
220,Sensor,200,32902
221,Sensor,200,32902
222,Sensor,200,32902
223,Sensor,200,32902
224,Sensor,200,32902
225,Sensor,200,32902
226,Sensor,200,32902
227,Sensor,200,32902
228,Sensor,200,32902
229,Sensor,200,32902
230,Sensor,200,32902
231,Sensor,200,32902
232,Sensor,200,32902
233,Sensor,200,32902
234,Sensor,200,32902
235,Sensor,200,32902
236,Sensor,200,32902
237,Sensor,200,32902
238,Sensor,200,32902
239,Sensor,200,32902
240,Sensor,200,32902
241,Sensor,200,32902
242,Sensor,200,32902
243,Sensor,200,32902
244,Sensor,200,32902
245,Sensor,200,32902
246,Sensor,200,32902
247,Sensor,200,32902
248,Sensor,200,32902
249,Sensor,200,32902
250,Sensor,200,32902
251,Sensor,200,32902
252,Sensor,200,32902
253,Sensor,200,32902
254,Sensor,200,32902
255,Sensor,200,32902